descricao_produto;cod_prod;subgrupo;CB_DIEESE;CB_ACT;CB_MDS;Alim_desc1;Alim_desc2;IS_UPP;IS;IBS/CBS - 25% - Tax Burden;IBS/CBS - 25% - % General Tax Regime;IBS/CBS - 25% Impacts;IBS/CBS - 25% Value;IBS/CBS - 25% - % Simples Tax Regime;IBS/CBS - 25% Simples Impacts;IBS/CBS - 25% Simples Value;IBS/CBS - 26.9% - Tax Burden;IBS/CBS - 26.9% - % General Tax Regime;IBS/CBS - 26.9% Impacts;IBS/CBS - 26.9% Value;IBS/CBS - 26.9% - % Simples Tax Regime;IBS/CBS - 26.9% Simples Impacts;IBS/CBS - 26.9% Simples Value
LENTILHA PARA VIAGEM;8510201;Demais alimentos;0;0;0;0;0;0;0;0.134599492;0.341247769;0.06483747;4818.374047;0.658752231;0.028719146;8985.997382;0.134599492;0.341247769;0.081023;4891.613332;0.658752231;0.034221003;9034.056828
LEQUE (USO PESSOAL);3903601;Instrumentos e produtos de uso pessoal;0;0;0;0;0;0;0;0.353308082;0.461240217;-0.194073123;257.5671356;0.538759783;-0.042198943;357.551103;0.353308082;0.461240217;-0.181823035;261.4821561;0.538759783;-0.034141323;360.5590459
LEVEDO DE CERVEJA;8203401;Demais alimentos;0;0;0;0;0;0;0;0.301670591;0.903132791;-0.129792374;6295.42145;0.096867209;0.058449145;821.2910621;0.301670591;0.903132791;-0.116565218;6391.111856;0.096867209;0.069646513;829.9795268
LICENCA DE AUTOMOVEL;5000402;Impostos;0;0;0;0;0;0;0;;;;;;;;;;;;;;
LICENCA DE CAMINHAO;5000502;Impostos;0;0;0;0;0;0;0;;;;;;;;;;;;;;
LICENCA DE MOTO;5000602;Impostos;0;0;0;0;0;0;0;;;;;;;;;;;;;;
LICENCA DE SISTEMA OPERACIONAL / APLICATIVOS (TEXTO, PLANILHA, ETC.);4302101;Outras;0;0;0;0;0;0;0;0.127986179;0.89035131;0.079385233;5005451.691;0.10964869;-0.004942721;568272.8762;0.127986179;0.89035131;0.079385233;5005451.691;0.10964869;-0.004942721;568272.8762
LICENCA PARA OBRA, PLANTA E DESEMBARACO DE DOCUMENTACAO (CONSTRUCAO E REFORMA);1107501;Reforma e Construcao;0;0;0;0;0;0;0;;;;;;;;;;;;;;
LICHIA;6810001;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;806158.7172;0.096867209;0.122005556;85558.45729;0.066169971;0.903132791;0.15114333;818412.3297;0.096867209;0.136140333;86636.30375
LICOR;2412601;Cervejas, chopes e outras bebidas alcoólicas;0;0;0;0;0;0;1;0.224347097;0.341247769;-0.077030476;22088.35004;0.658752231;-0.111190437;41061.69875;0.224347097;0.341247769;-0.063001339;22424.09296;0.658752231;-0.107583123;41228.35139
