"coorte","sigla_uf","id_municipio","instrucao","ocupacao","curso_stem","cbo_2002","cbo_agregado","cbo_agregado_nome","cbo_agregado_nome_caser.laverde.rothwell","stem_background","tenure","tenure_rais","tenure_old","situacao","sigla_partido","idade","genero","populacao","densidade","idhm","renda_pc","per_populacao_urbana","per_populacao_homens","tx_med_ch","tx_med","tx_enf_ch","tx_enf","pct_desp_recp_saude_mun","cob_esf","tx_leito_sus","ideology_party","ideology_municipality","reeleito","mulher","ens_sup","sch_non_stem_cdt","X","Y_deaths_sivep","Y_hosp","T","T_X","barreiras_sanitarias","mascaras","restricao_atv_nao_essenciais","restricao_circulacao","restricao_transporte_publico","total_nfi"
"2016","MG","313900",7,"prefeito",0,"234405","2344","Uni. prof. of biological sciences","Life, physical, and social science","1",48.0000015258789,56.9000015258789,.,.,"MDB",39,"masculino",42413,70.5989166459029,0.715,25.4851722717285,-15.8024578094482,49.9462890625,1.800537109375,1.2939453125,0.447998046875,0.439453125,30.24,42,104.98046875,0.41641139,0.108518883225,TRUE,FALSE,TRUE,FALSE,0.357341604707385,30.650979652465,141.466059934454,1,0.357341604707385,1,1,1,1,1,5
"2016","GO","521920",7,"medico",.,.,.,.,.,"0",0,.,.,.,"PRTB",26,"masculino",2819,2.79089815521181,0.688,37.1960601806641,-66.5946197509766,51.5484515484515,1.64835166931152,0.333000332117081,0.999001026153564,0.999001026153564,15.28,100,399.600402832031,0.3464803195,0.246693105476,FALSE,FALSE,TRUE,TRUE,-0.109812108559499,70.9471443774388,106.420716566158,0,0,0,1,1,1,0,3
"2016","BA","292950",7,"medico",.,.,.,.,.,"0",0,.,.,.,"PSD",43,"masculino",44430,84.4919190042727,0.657,18.6844310760498,-20.0197162628174,48.618254131523,0.584013342857361,0.525726318359375,0.704016089439392,0.571441650390625,24.45,91.41,82.28759765625,0.424576552,0.23551718475,FALSE,FALSE,TRUE,TRUE,-0.247470572024723,92.279990997074,195.813639432816,0,0,.,.,.,.,.,.
"2016","BA","291070",7,"engenheiro",1,"214205","2142","Civil engineers","Architecture and engineering","1",24,34.9,34,"deferido","PDT",33,"masculino",60858,30.4170302149792,0.567,13.0532293319702,-48.8704566955566,50.0201897839693,0.690238237380981,0.622518360614777,0.64018440246582,0.70664244890213,22.7,100,136.281036376953,-0.360053922,-0.021085339775,FALSE,FALSE,TRUE,TRUE,0.0379903861063731,18.0748627953597,49.295080350981,1,0.0379903861063731,0,1,0,1,1,3
"2016","BA","293250",7,"administrador",0,"395110","3951","Others","Architecture and engineering","1",10.9,10.9,.,.,"PP",32,"masculino",18544,18.0818883364663,0.56,16.4615440368652,-37.5398979187012,51.1216113020237,0.854333698749542,0.381825119256973,1.15979385375977,1.14547538757324,23.21,91.86,233.867889404297,0.599924903,0.236550444057,FALSE,FALSE,TRUE,FALSE,0.125010732377436,118.636755823986,221.095772217429,1,0.125010732377436,1,1,1,1,0,4
"2016","RO","110028",5,"administrador",.,.,.,.,.,"0",0,.,.,.,"PSDB",56,"masculino",55407,38.577723391646,0.7,24.637279510498,-16.7897415161133,49.2513099744532,1.34074258804321,0.857776880264282,0.624685347080231,0.466183066368103,23.73,80.37,147.313858032227,0.504912877,0.147842096913,FALSE,FALSE,FALSE,FALSE,-0.0197087334037763,83.02200083022,173.263306080459,0,0,.,.,.,.,.,.
"2016","SP","351450",5,"tecnico em informatica",0,"122305","1223","Directors of works operations in construction","Architecture and engineering","1",12,38.8,38,"deferido","CIDADANIA",57,"masculino",12433,47.5020505977918,0.748,19.2622928619385,-8.98487186431885,48.8554506162958,1.18857049942017,1.44069159030914,0.846406280994415,0.720345795154572,29.05,82.3,616.295837402344,-0.088556251,0.303868381585,FALSE,FALSE,FALSE,TRUE,0.114533205004812,112.603555055095,369.983109466742,1,0.114533205004812,0,1,0,1,1,3
"2016","SP","351512",7,"engenheiro",1,"222110","2221","Agroforestry engineers","Architecture and engineering","1",108.000003051758,194.800003051758,194,"deferido","PTB",55,"masculino",3227,14.096204150697,0.727,19.2176895141602,-15.892765045166,50.3319633259564,0.632311105728149,0.316155552864075,0.948466658592224,0.632311105728149,21.39,100,0,0.230388573,0.220863911784,FALSE,FALSE,TRUE,TRUE,0.333189655172414,123.954136969321,557.793616361946,1,0.333189655172414,0,1,0,1,0,2
"2016","MG","315110",7,"professor de ensino superior",0,"234415","2344","Uni. prof. of biological sciences","Life, physical, and social science","1",24.0000015258789,34.9000015258789,.,.,"REPUBLICANOS",29,"masculino",10772,56.7334973070206,0.709,48.6627464294434,-10.9575519561768,48.9078466297928,1.10152804851532,1.31245899200439,0.562482416629791,0.562482416629791,28.55,100,309.365325927734,0.453008004,0.348038064362,FALSE,FALSE,TRUE,FALSE,0.307760252365931,83.5499443000371,380.616412922391,1,0.307760252365931,1,1,1,1,0,4
"2016","RS","431085",5,"motorista de veiculos de transporte de carga",.,.,.,.,.,"0",0,.,.,.,"PP",52,"masculino",3773,32.150750080045,0.658,26.1648330688477,-61.4193153381348,50.9063444108761,1.9763343334198,1.51057398319244,2.25327301025391,2.01409864425659,23.32,100,755.286987304688,0.599924903,0.079131529661,FALSE,FALSE,FALSE,FALSE,-0.326327039543997,132.520540683806,291.545189504373,0,0,0,1,0,1,0,2
